,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9997257268239166,0.9822950819672132,0.9945851866176755,0.9910104043955649,0.9946728286146344
recall,0.9926470588235294,0.9993328885923949,0.9945851866176755,0.9959899737079622,0.9945851866176755
f1-score,0.9961738179830555,0.9907407407407407,0.9945851866176755,0.9934572793618981,0.994598845485235
support,3672.0,1499.0,0.9945851866176755,5171.0,5171.0
