,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9932070811033347,1.0,0.9940775305096913,0.9966035405516673,0.9941177613646069
recall,1.0,0.9558232931726908,0.9940775305096913,0.9779116465863453,0.9940775305096913
f1-score,0.9965919653000104,0.9774127310061602,0.9940775305096913,0.9870023481530853,0.994020736294715
support,4825.0,747.0,0.9940775305096913,5572.0,5572.0
