,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9954328420178534,0.9602649006622517,0.990667623833453,0.9778488713400526,0.9907181162115659
recall,0.9937823834196892,0.9705488621151271,0.990667623833453,0.9821656227674082,0.990667623833453
f1-score,0.9946069280232317,0.9653794940079894,0.990667623833453,0.9799932110156105,0.9906886054802694
support,4825.0,747.0,0.990667623833453,5572.0,5572.0
