,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9911775987725355,0.8796698523023457,0.965820408969673,0.9354237255374407,0.9681115885869604
recall,0.9655000622742558,0.9670487106017192,0.965820408969673,0.9662743864379875,0.965820408969673
f1-score,0.9781703470031545,0.9212920837124658,0.965820408969673,0.9497312153578101,0.9664047554462344
support,8029.0,2094.0,0.965820408969673,10123.0,10123.0
