,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9875033958163543,0.9751677852348993,0.9839489460452524,0.9813355905256268,0.9839274762144202
recall,0.9899237472766884,0.9693128752501667,0.9839489460452524,0.9796183112634276,0.9839489460452524
f1-score,0.9887120903032776,0.9722315155570425,0.9839489460452524,0.98047180293016,0.9839346040250709
support,3672.0,1499.0,0.9839489460452524,5171.0,5171.0
