,Not Spam,Spam,accuracy,macro avg,weighted avg
precision,0.9964577656675749,0.9900066622251832,0.9945851866176755,0.9932322139463791,0.9945876817263363
recall,0.9959150326797386,0.9913275517011341,0.9945851866176755,0.9936212921904364,0.9945851866176755
f1-score,0.9961863252519749,0.9906666666666667,0.9945851866176755,0.9934264959593209,0.9945862540434317
support,3672.0,1499.0,0.9945851866176755,5171.0,5171.0
